_id,year,county,hospital,oshpdid,system,type of report,performance measure,# of adverse events,# of cases,risk-adjusted rate,hospital ratings,latitude,longitude
3647,2017,Solano,NorthBay Medical Center,106481357,Independent/Other,IMI,Carotid Endarterectomy,0.0,7.0,0.0,As Expected,38.26097,-122.05
3648,2017,Solano,NorthBay Medical Center,106481357,Independent/Other,IMI,Acute Stroke Subarachnoid,4.0,5.0,31.9,As Expected,38.26097,-122.05
3649,2017,Solano,NorthBay Medical Center,106481357,Independent/Other,IMI,Acute Stroke Ischemic,10.0,146.0,5.8,As Expected,38.26097,-122.05
3650,2017,Solano,NorthBay Medical Center,106481357,Independent/Other,IMI,Acute Stroke Hemorrhagic,12.0,36.0,24.6,As Expected,38.26097,-122.05
3651,2017,Solano,NorthBay Medical Center,106481357,Independent/Other,IMI,Acute Stroke,26.0,187.0,10.8,As Expected,38.26097,-122.05
3652,2017,Solano,NorthBay Medical Center,106481357,Independent/Other,IMI,AMI,13.0,233.0,4.9,As Expected,38.26097,-122.05
3653,2017,Solano,NorthBay Medical Center,106481357,Independent/Other,CABG,Isolated CABG Operative Mor,0.0,42.0,0.0,As Expected,38.26,-122.05
3654,2017,Solano,Kaiser Foundation Hospital – Vacaville,106484044,Kaiser Foundation Hospitals,IMI,Hip Fracture,4.0,89.0,4.4,As Expected,38.38949,-121.937
3655,2017,Solano,Kaiser Foundation Hospital – Vacaville,106484044,Kaiser Foundation Hospitals,IMI,Pneumonia,7.0,107.0,5.2,As Expected,38.38949,-121.937
3658,2017,Solano,Kaiser Foundation Hospital – Vacaville,106484044,Kaiser Foundation Hospitals,IMI,Heart Failure,11.0,181.0,4.2,As Expected,38.38949,-121.937
3659,2017,Solano,Kaiser Foundation Hospital – Vacaville,106484044,Kaiser Foundation Hospitals,IMI,GI Hemorrhage,6.0,111.0,4.0,As Expected,38.38949,-121.937
3661,2017,Solano,Kaiser Foundation Hospital – Vacaville,106484044,Kaiser Foundation Hospitals,IMI,Acute Stroke Subarachnoid,0.0,4.0,0.0,As Expected,38.38949,-121.937
3662,2017,Solano,Kaiser Foundation Hospital – Vacaville,106484044,Kaiser Foundation Hospitals,IMI,Acute Stroke Ischemic,9.0,137.0,6.7,As Expected,38.38949,-121.937
3663,2017,Solano,Kaiser Foundation Hospital – Vacaville,106484044,Kaiser Foundation Hospitals,IMI,Acute Stroke Hemorrhagic,16.0,64.0,26.3,As Expected,38.38949,-121.937
3664,2017,Solano,Kaiser Foundation Hospital – Vacaville,106484044,Kaiser Foundation Hospitals,IMI,Acute Stroke,25.0,205.0,10.9,As Expected,38.38949,-121.937
3665,2017,Solano,Kaiser Foundation Hospital – Vacaville,106484044,Kaiser Foundation Hospitals,IMI,AMI,4.0,49.0,6.3,As Expected,38.38949,-121.937
3666,2017,Sonoma,Healdsburg Hospital,106490964,Independent/Other,IMI,Hip Fracture,0.0,14.0,0.0,As Expected,38.62764,-122.863
3667,2017,Sonoma,Healdsburg Hospital,106490964,Independent/Other,IMI,Pneumonia,2.0,54.0,4.1,As Expected,38.62764,-122.863
3670,2017,Sonoma,Healdsburg Hospital,106490964,Independent/Other,IMI,Heart Failure,1.0,21.0,4.0,As Expected,38.62764,-122.863
3674,2017,Sonoma,Healdsburg Hospital,106490964,Independent/Other,IMI,Acute Stroke Ischemic,0.0,11.0,0.0,As Expected,38.62764,-122.863
3675,2017,Sonoma,Healdsburg Hospital,106490964,Independent/Other,IMI,Acute Stroke Hemorrhagic,5.0,8.0,63.2,Worse,38.62764,-122.863
3676,2017,Sonoma,Healdsburg Hospital,106490964,Independent/Other,IMI,Acute Stroke,5.0,19.0,16.6,As Expected,38.62764,-122.863
3677,2017,Sonoma,Healdsburg Hospital,106490964,Independent/Other,IMI,AMI,0.0,4.0,0.0,As Expected,38.62764,-122.863
3678,2017,Sonoma,Petaluma Valley Hospital,106491001,Providence St. Joseph Health,IMI,Pneumonia,0.0,62.0,0.0,As Expected,38.25323,-122.633
3681,2017,Sonoma,Petaluma Valley Hospital,106491001,Providence St. Joseph Health,IMI,Hip Fracture,1.0,41.0,1.0,As Expected,38.25323,-122.633
3682,2017,Sonoma,Petaluma Valley Hospital,106491001,Providence St. Joseph Health,IMI,Heart Failure,3.0,97.0,1.7,As Expected,38.25323,-122.633
3683,2017,Sonoma,Petaluma Valley Hospital,106491001,Providence St. Joseph Health,IMI,GI Hemorrhage,0.0,43.0,0.0,As Expected,38.25323,-122.633
3686,2017,Sonoma,Petaluma Valley Hospital,106491001,Providence St. Joseph Health,IMI,Acute Stroke Ischemic,2.0,39.0,3.5,As Expected,38.25323,-122.633
3688,2017,Sonoma,Petaluma Valley Hospital,106491001,Providence St. Joseph Health,IMI,Acute Stroke,5.0,42.0,9.4,As Expected,38.25323,-122.633
3689,2017,Sonoma,Petaluma Valley Hospital,106491001,Providence St. Joseph Health,IMI,AMI,1.0,26.0,2.0,As Expected,38.25323,-122.633
3690,2017,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Providence St. Joseph Health,IMI,Hip Fracture,3.0,138.0,1.9,As Expected,38.4429,-122.701
3691,2017,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Providence St. Joseph Health,IMI,Pneumonia,3.0,140.0,2.0,As Expected,38.4429,-122.701
3693,2017,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Providence St. Joseph Health,IMI,PCI,7.0,256.0,2.4,As Expected,38.4429,-122.701
3694,2017,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Providence St. Joseph Health,IMI,Heart Failure,7.0,322.0,1.4,As Expected,38.4429,-122.701
3695,2017,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Providence St. Joseph Health,IMI,GI Hemorrhage,6.0,203.0,2.6,As Expected,38.4429,-122.701
3696,2017,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Providence St. Joseph Health,IMI,Carotid Endarterectomy,0.0,18.0,0.0,As Expected,38.4429,-122.701
3698,2017,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Providence St. Joseph Health,IMI,Acute Stroke Ischemic,4.0,207.0,1.8,Better,38.4429,-122.701
3699,2017,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Providence St. Joseph Health,IMI,Acute Stroke Hemorrhagic,15.0,72.0,18.7,As Expected,38.4429,-122.701
3700,2017,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Providence St. Joseph Health,IMI,Acute Stroke,19.0,280.0,5.9,Better,38.4429,-122.701
3701,2017,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Providence St. Joseph Health,IMI,AMI,16.0,374.0,3.8,As Expected,38.4429,-122.701
3702,2017,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Providence St. Joseph Health,CABG,Isolated CABG Operative Mor,1.0,66.0,3.23,As Expected,38.44,-122.7
3703,2017,Sonoma,Sonoma Valley Hospital,106491076,Independent/Other,IMI,Hip Fracture,0.0,33.0,0.0,As Expected,38.28841,-122.465
3704,2017,Sonoma,Sonoma Valley Hospital,106491076,Independent/Other,IMI,Pneumonia,0.0,29.0,0.0,As Expected,38.28841,-122.465
3707,2017,Sonoma,Sonoma Valley Hospital,106491076,Independent/Other,IMI,Heart Failure,1.0,44.0,1.4,As Expected,38.28841,-122.465
3708,2017,Sonoma,Sonoma Valley Hospital,106491076,Independent/Other,IMI,GI Hemorrhage,1.0,23.0,3.2,As Expected,38.28841,-122.465
3711,2017,Sonoma,Sonoma Valley Hospital,106491076,Independent/Other,IMI,Acute Stroke Ischemic,1.0,24.0,3.3,As Expected,38.28841,-122.465
3713,2017,Sonoma,Sonoma Valley Hospital,106491076,Independent/Other,IMI,Acute Stroke,1.0,25.0,4.3,As Expected,38.28841,-122.465
3715,2017,Sonoma,Sonoma Specialty Hospital,106491338,Independent/Other,IMI,Hip Fracture,1.0,6.0,29.9,As Expected,38.39825,-122.821
3716,2017,Sonoma,Sonoma Specialty Hospital,106491338,Independent/Other,IMI,Pneumonia,2.0,49.0,2.5,As Expected,38.39825,-122.821
3719,2017,Sonoma,Sonoma Specialty Hospital,106491338,Independent/Other,IMI,Heart Failure,1.0,22.0,2.9,As Expected,38.39825,-122.821
3720,2017,Sonoma,Sonoma Specialty Hospital,106491338,Independent/Other,IMI,GI Hemorrhage,0.0,11.0,0.0,As Expected,38.39825,-122.821
3723,2017,Sonoma,Sonoma Specialty Hospital,106491338,Independent/Other,IMI,Acute Stroke Ischemic,1.0,7.0,4.1,As Expected,38.39825,-122.821
3725,2017,Sonoma,Sonoma Specialty Hospital,106491338,Independent/Other,IMI,Acute Stroke,1.0,7.0,7.4,As Expected,38.39825,-122.821
3727,2017,Sonoma,Kaiser Foundation Hospital – Santa Rosa,106494019,Kaiser Foundation Hospitals,IMI,Pneumonia,6.0,193.0,2.6,As Expected,38.47087,-122.731
3730,2017,Sonoma,Kaiser Foundation Hospital – Santa Rosa,106494019,Kaiser Foundation Hospitals,IMI,Hip Fracture,2.0,142.0,1.3,As Expected,38.47087,-122.731
3731,2017,Sonoma,Kaiser Foundation Hospital – Santa Rosa,106494019,Kaiser Foundation Hospitals,IMI,Heart Failure,7.0,339.0,1.6,As Expected,38.47087,-122.731
3732,2017,Sonoma,Kaiser Foundation Hospital – Santa Rosa,106494019,Kaiser Foundation Hospitals,IMI,GI Hemorrhage,3.0,272.0,1.5,As Expected,38.47087,-122.731
3733,2017,Sonoma,Kaiser Foundation Hospital – Santa Rosa,106494019,Kaiser Foundation Hospitals,IMI,Carotid Endarterectomy,0.0,19.0,0.0,As Expected,38.47087,-122.731
3735,2017,Sonoma,Kaiser Foundation Hospital – Santa Rosa,106494019,Kaiser Foundation Hospitals,IMI,Acute Stroke Ischemic,6.0,144.0,6.2,As Expected,38.47087,-122.731
3736,2017,Sonoma,Kaiser Foundation Hospital – Santa Rosa,106494019,Kaiser Foundation Hospitals,IMI,Acute Stroke Hemorrhagic,6.0,39.0,19.8,As Expected,38.47087,-122.731
3737,2017,Sonoma,Kaiser Foundation Hospital – Santa Rosa,106494019,Kaiser Foundation Hospitals,IMI,Acute Stroke,12.0,184.0,9.5,As Expected,38.47087,-122.731
3738,2017,Sonoma,Kaiser Foundation Hospital – Santa Rosa,106494019,Kaiser Foundation Hospitals,IMI,AMI,3.0,84.0,2.9,As Expected,38.47087,-122.731
3739,2017,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,Sutter Health,IMI,Pneumonia,2.0,37.0,3.5,As Expected,38.49636,-122.751
3741,2017,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,Sutter Health,IMI,PCI,7.0,122.0,6.4,As Expected,38.49636,-122.751
3742,2017,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,Sutter Health,IMI,Heart Failure,5.0,141.0,2.8,As Expected,38.49636,-122.751
3743,2017,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,Sutter Health,IMI,GI Hemorrhage,3.0,155.0,1.6,As Expected,38.49636,-122.751
3744,2017,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,Sutter Health,IMI,Carotid Endarterectomy,0.0,14.0,0.0,As Expected,38.49636,-122.751
3745,2017,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,Sutter Health,IMI,Hip Fracture,1.0,69.0,1.3,As Expected,38.49636,-122.751
3747,2017,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,Sutter Health,IMI,Acute Stroke Ischemic,1.0,73.0,1.7,As Expected,38.49636,-122.751
3748,2017,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,Sutter Health,IMI,Acute Stroke Hemorrhagic,2.0,3.0,32.5,As Expected,38.49636,-122.751
3749,2017,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,Sutter Health,IMI,Acute Stroke,3.0,76.0,6.4,As Expected,38.49636,-122.751
3750,2017,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,Sutter Health,IMI,AMI,8.0,168.0,5.7,As Expected,38.49636,-122.751
3751,2017,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,Sutter Health,CABG,Isolated CABG Operative Mor,0.0,32.0,0.0,As Expected,38.47,-122.71
3752,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,IMI,Hip Fracture,7.0,241.0,2.3,As Expected,37.66439,-120.996
3753,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,IMI,Pneumonia,11.0,311.0,3.7,As Expected,37.66439,-120.996
3754,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,IMI,Pancreatic Resection,1.0,6.0,8.1,As Expected,37.66439,-120.996
3755,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,IMI,PCI,13.0,362.0,4.5,As Expected,37.66439,-120.996
3756,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,IMI,Heart Failure,18.0,610.0,3.5,As Expected,37.66439,-120.996
3757,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,IMI,GI Hemorrhage,11.0,401.0,2.2,As Expected,37.66439,-120.996
3758,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,IMI,Carotid Endarterectomy,1.0,158.0,1.0,As Expected,37.66439,-120.996
3759,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,IMI,Acute Stroke Subarachnoid,5.0,17.0,28.8,As Expected,37.66439,-120.996
3760,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,IMI,Acute Stroke Ischemic,18.0,385.0,5.5,As Expected,37.66439,-120.996
3761,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,IMI,Acute Stroke Hemorrhagic,46.0,190.0,22.6,As Expected,37.66439,-120.996
3762,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,IMI,Acute Stroke,69.0,592.0,9.8,As Expected,37.66439,-120.996
3763,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,IMI,AMI,32.0,440.0,9.0,Worse,37.66439,-120.996
3764,2017,Stanislaus,Doctors Medical Center,106500852,Tenet Healthcare Corporation,CABG,Isolated CABG Operative Mor,7.0,286.0,2.06,As Expected,37.8,-121.2
3765,2017,Stanislaus,Emanuel Medical Center,106500867,Tenet Healthcare Corporation,IMI,Pneumonia,7.0,327.0,2.2,As Expected,37.51052,-120.839
3767,2017,Stanislaus,Emanuel Medical Center,106500867,Tenet Healthcare Corporation,IMI,PCI,9.0,286.0,4.4,As Expected,37.51052,-120.839
3768,2017,Stanislaus,Emanuel Medical Center,106500867,Tenet Healthcare Corporation,IMI,Hip Fracture,0.0,33.0,0.0,As Expected,37.51052,-120.839
3769,2017,Stanislaus,Emanuel Medical Center,106500867,Tenet Healthcare Corporation,IMI,Heart Failure,13.0,452.0,4.7,As Expected,37.51052,-120.839
3770,2017,Stanislaus,Emanuel Medical Center,106500867,Tenet Healthcare Corporation,IMI,GI Hemorrhage,5.0,163.0,5.4,As Expected,37.51052,-120.839
3773,2017,Stanislaus,Emanuel Medical Center,106500867,Tenet Healthcare Corporation,IMI,Acute Stroke Ischemic,1.0,104.0,1.7,As Expected,37.51052,-120.839
3774,2017,Stanislaus,Emanuel Medical Center,106500867,Tenet Healthcare Corporation,IMI,Acute Stroke Hemorrhagic,0.0,7.0,0.0,As Expected,37.51052,-120.839
3775,2017,Stanislaus,Emanuel Medical Center,106500867,Tenet Healthcare Corporation,IMI,Acute Stroke,1.0,111.0,2.5,As Expected,37.51052,-120.839
3776,2017,Stanislaus,Emanuel Medical Center,106500867,Tenet Healthcare Corporation,IMI,AMI,16.0,407.0,4.9,As Expected,37.51052,-120.839
3777,2017,Stanislaus,Emanuel Medical Center,106500867,Tenet Healthcare Corporation,Elective PCI,Elective PCI Emergency CABG,0.0,56.0,0.0,As Expected,37.51052,-120.83966
3778,2017,Stanislaus,Emanuel Medical Center,106500867,Tenet Healthcare Corporation,Elective PCI,Elective PCI Stroke,0.0,56.0,0.0,As Expected,37.51052,-120.83966
3779,2017,Stanislaus,Emanuel Medical Center,106500867,Tenet Healthcare Corporation,Elective PCI,Elective PCI Mortality,0.0,56.0,0.0,As Expected,37.51052,-120.83966
3781,2017,Stanislaus,Memorial Medical Center – Modesto,106500939,Sutter Health,IMI,Pneumonia,6.0,242.0,2.4,As Expected,37.66868,-120.973
3782,2017,Stanislaus,Memorial Medical Center – Modesto,106500939,Sutter Health,IMI,Pancreatic Resection,0.0,8.0,0.0,As Expected,37.66868,-120.973
3783,2017,Stanislaus,Memorial Medical Center – Modesto,106500939,Sutter Health,IMI,PCI,7.0,370.0,1.8,Better,37.66868,-120.973
3784,2017,Stanislaus,Memorial Medical Center – Modesto,106500939,Sutter Health,IMI,Hip Fracture,5.0,195.0,2.2,As Expected,37.66868,-120.973
3785,2017,Stanislaus,Memorial Medical Center – Modesto,106500939,Sutter Health,IMI,Heart Failure,16.0,674.0,2.0,As Expected,37.66868,-120.973
3786,2017,Stanislaus,Memorial Medical Center – Modesto,106500939,Sutter Health,IMI,GI Hemorrhage,13.0,584.0,2.2,As Expected,37.66868,-120.973
3787,2017,Stanislaus,Memorial Medical Center – Modesto,106500939,Sutter Health,IMI,Carotid Endarterectomy,0.0,46.0,0.0,As Expected,37.66868,-120.973
3789,2017,Stanislaus,Memorial Medical Center – Modesto,106500939,Sutter Health,IMI,Acute Stroke Ischemic,11.0,351.0,3.9,As Expected,37.66868,-120.973
3790,2017,Stanislaus,Memorial Medical Center – Modesto,106500939,Sutter Health,IMI,Acute Stroke Hemorrhagic,10.0,77.0,13.1,As Expected,37.66868,-120.973
3791,2017,Stanislaus,Memorial Medical Center – Modesto,106500939,Sutter Health,IMI,Acute Stroke,21.0,430.0,6.2,Better,37.66868,-120.973
3792,2017,Stanislaus,Memorial Medical Center – Modesto,106500939,Sutter Health,IMI,AMI,17.0,395.0,4.9,As Expected,37.66868,-120.973
3793,2017,Stanislaus,Memorial Medical Center – Modesto,106500939,Sutter Health,CABG,Isolated CABG Operative Mor,4.0,125.0,1.92,As Expected,37.67,-120.98
3794,2017,Stanislaus,Oak Valley Hospital District,106500967,Independent/Other,IMI,Pneumonia,0.0,38.0,0.0,As Expected,37.75782,-120.86
3797,2017,Stanislaus,Oak Valley Hospital District,106500967,Independent/Other,IMI,Hip Fracture,0.0,6.0,0.0,As Expected,37.75782,-120.86
3798,2017,Stanislaus,Oak Valley Hospital District,106500967,Independent/Other,IMI,Heart Failure,1.0,43.0,2.9,As Expected,37.75782,-120.86
3799,2017,Stanislaus,Oak Valley Hospital District,106500967,Independent/Other,IMI,GI Hemorrhage,0.0,10.0,0.0,As Expected,37.75782,-120.86
3802,2017,Stanislaus,Oak Valley Hospital District,106500967,Independent/Other,IMI,Acute Stroke Ischemic,1.0,13.0,64.1,As Expected,37.75782,-120.86
3804,2017,Stanislaus,Oak Valley Hospital District,106500967,Independent/Other,IMI,Acute Stroke,1.0,14.0,61.1,As Expected,37.75782,-120.86
3805,2017,Stanislaus,Oak Valley Hospital District,106500967,Independent/Other,IMI,AMI,3.0,4.0,69.1,Worse,37.75782,-120.86
3806,2017,Tehama,St. Elizabeth Community Hospital,106521041,Dignity Health,IMI,Pneumonia,1.0,40.0,1.7,As Expected,40.1495,-122.218
3809,2017,Tehama,St. Elizabeth Community Hospital,106521041,Dignity Health,IMI,Hip Fracture,1.0,64.0,1.7,As Expected,40.1495,-122.218
3810,2017,Tehama,St. Elizabeth Community Hospital,106521041,Dignity Health,IMI,Heart Failure,5.0,93.0,3.7,As Expected,40.1495,-122.218
3811,2017,Tehama,St. Elizabeth Community Hospital,106521041,Dignity Health,IMI,GI Hemorrhage,1.0,51.0,1.6,As Expected,40.1495,-122.218
3814,2017,Tehama,St. Elizabeth Community Hospital,106521041,Dignity Health,IMI,Acute Stroke Ischemic,2.0,41.0,5.9,As Expected,40.1495,-122.218
3816,2017,Tehama,St. Elizabeth Community Hospital,106521041,Dignity Health,IMI,Acute Stroke,5.0,44.0,12.7,As Expected,40.1495,-122.218
3817,2017,Tehama,St. Elizabeth Community Hospital,106521041,Dignity Health,IMI,AMI,0.0,9.0,0.0,As Expected,40.1495,-122.218
3818,2017,Trinity,Trinity Hospital,106531059,Independent/Other,IMI,Pneumonia,0.0,39.0,0.0,As Expected,40.73784,-122.94
3822,2017,Trinity,Trinity Hospital,106531059,Independent/Other,IMI,Heart Failure,1.0,16.0,6.1,As Expected,40.73784,-122.94
3823,2017,Trinity,Trinity Hospital,106531059,Independent/Other,IMI,GI Hemorrhage,0.0,9.0,0.0,As Expected,40.73784,-122.94
3826,2017,Trinity,Trinity Hospital,106531059,Independent/Other,IMI,Acute Stroke Ischemic,0.0,3.0,0.0,As Expected,40.73784,-122.94
3828,2017,Trinity,Trinity Hospital,106531059,Independent/Other,IMI,Acute Stroke,0.0,3.0,0.0,As Expected,40.73784,-122.94
3830,2017,Tulare,Kaweah Health Medical Center,106540734,Independent/Other,IMI,Pneumonia,22.0,660.0,2.4,As Expected,36.32753,-119.293
3832,2017,Tulare,Kaweah Health Medical Center,106540734,Independent/Other,IMI,PCI,27.0,559.0,3.7,As Expected,36.32753,-119.293
3833,2017,Tulare,Kaweah Health Medical Center,106540734,Independent/Other,IMI,Hip Fracture,5.0,190.0,2.4,As Expected,36.32753,-119.293
3834,2017,Tulare,Kaweah Health Medical Center,106540734,Independent/Other,IMI,Heart Failure,34.0,1008.0,2.7,As Expected,36.32753,-119.293
3835,2017,Tulare,Kaweah Health Medical Center,106540734,Independent/Other,IMI,GI Hemorrhage,27.0,591.0,3.7,Worse,36.32753,-119.293
3836,2017,Tulare,Kaweah Health Medical Center,106540734,Independent/Other,IMI,Carotid Endarterectomy,0.0,61.0,0.0,As Expected,36.32753,-119.293
3837,2017,Tulare,Kaweah Health Medical Center,106540734,Independent/Other,IMI,Acute Stroke Subarachnoid,3.0,5.0,31.1,As Expected,36.32753,-119.293
3838,2017,Tulare,Kaweah Health Medical Center,106540734,Independent/Other,IMI,Acute Stroke Ischemic,23.0,392.0,6.3,As Expected,36.32753,-119.293
3839,2017,Tulare,Kaweah Health Medical Center,106540734,Independent/Other,IMI,Acute Stroke Hemorrhagic,12.0,41.0,23.5,As Expected,36.32753,-119.293
3840,2017,Tulare,Kaweah Health Medical Center,106540734,Independent/Other,IMI,Acute Stroke,38.0,438.0,11.0,As Expected,36.32753,-119.293
3841,2017,Tulare,Kaweah Health Medical Center,106540734,Independent/Other,IMI,AMI,61.0,664.0,7.7,Worse,36.32753,-119.293
3842,2017,Tulare,Kaweah Health Medical Center,106540734,Independent/Other,CABG,Isolated CABG Operative Mor,4.0,183.0,1.45,As Expected,36.33,-119.29
3843,2017,Tulare,Sierra View Medical Center,106540798,Independent/Other,IMI,Pneumonia,7.0,227.0,3.5,As Expected,36.06948,-119.027
3846,2017,Tulare,Sierra View Medical Center,106540798,Independent/Other,IMI,Hip Fracture,1.0,77.0,1.9,As Expected,36.06948,-119.027
3847,2017,Tulare,Sierra View Medical Center,106540798,Independent/Other,IMI,Heart Failure,5.0,226.0,2.4,As Expected,36.06948,-119.027
3848,2017,Tulare,Sierra View Medical Center,106540798,Independent/Other,IMI,GI Hemorrhage,2.0,93.0,2.4,As Expected,36.06948,-119.027
3851,2017,Tulare,Sierra View Medical Center,106540798,Independent/Other,IMI,Acute Stroke Ischemic,4.0,91.0,5.9,As Expected,36.06948,-119.027
3852,2017,Tulare,Sierra View Medical Center,106540798,Independent/Other,IMI,Acute Stroke Hemorrhagic,4.0,8.0,30.5,As Expected,36.06948,-119.027
3853,2017,Tulare,Sierra View Medical Center,106540798,Independent/Other,IMI,Acute Stroke,8.0,99.0,11.7,As Expected,36.06948,-119.027
3854,2017,Tulare,Sierra View Medical Center,106540798,Independent/Other,IMI,AMI,5.0,83.0,5.5,As Expected,36.06948,-119.027
3855,2017,Tulare,Adventist Health Tulare,106540816,Adventist Health Systems,IMI,Pneumonia,5.0,124.0,3.3,As Expected,36.22101,-119.338
3858,2017,Tulare,Adventist Health Tulare,106540816,Adventist Health Systems,IMI,Hip Fracture,2.0,17.0,38.3,Worse,36.22101,-119.338
3859,2017,Tulare,Adventist Health Tulare,106540816,Adventist Health Systems,IMI,Heart Failure,7.0,73.0,9.2,Worse,36.22101,-119.338
3860,2017,Tulare,Adventist Health Tulare,106540816,Adventist Health Systems,IMI,GI Hemorrhage,2.0,58.0,4.6,As Expected,36.22101,-119.338
3863,2017,Tulare,Adventist Health Tulare,106540816,Adventist Health Systems,IMI,Acute Stroke Ischemic,1.0,16.0,10.9,As Expected,36.22101,-119.338
3864,2017,Tulare,Adventist Health Tulare,106540816,Adventist Health Systems,IMI,Acute Stroke Hemorrhagic,1.0,3.0,23.8,As Expected,36.22101,-119.338
3865,2017,Tulare,Adventist Health Tulare,106540816,Adventist Health Systems,IMI,Acute Stroke,2.0,19.0,13.3,As Expected,36.22101,-119.338
3866,2017,Tulare,Adventist Health Tulare,106540816,Adventist Health Systems,IMI,AMI,2.0,10.0,11.6,As Expected,36.22101,-119.338
3867,2017,Tuolumne,Adventist Health Sonora – Greenley,106554011,Adventist Health Systems,IMI,Pneumonia,2.0,85.0,2.3,As Expected,37.97568,-120.369
3870,2017,Tuolumne,Adventist Health Sonora – Greenley,106554011,Adventist Health Systems,IMI,Hip Fracture,4.0,80.0,3.0,As Expected,37.97568,-120.369
3871,2017,Tuolumne,Adventist Health Sonora – Greenley,106554011,Adventist Health Systems,IMI,Heart Failure,10.0,155.0,4.8,As Expected,37.97568,-120.369
3872,2017,Tuolumne,Adventist Health Sonora – Greenley,106554011,Adventist Health Systems,IMI,GI Hemorrhage,4.0,75.0,4.3,As Expected,37.97568,-120.369
3873,2017,Tuolumne,Adventist Health Sonora – Greenley,106554011,Adventist Health Systems,IMI,Carotid Endarterectomy,0.0,16.0,0.0,As Expected,37.97568,-120.369
3875,2017,Tuolumne,Adventist Health Sonora – Greenley,106554011,Adventist Health Systems,IMI,Acute Stroke Ischemic,6.0,67.0,9.4,As Expected,37.97568,-120.369
3876,2017,Tuolumne,Adventist Health Sonora – Greenley,106554011,Adventist Health Systems,IMI,Acute Stroke Hemorrhagic,0.0,3.0,0.0,As Expected,37.97568,-120.369
3877,2017,Tuolumne,Adventist Health Sonora – Greenley,106554011,Adventist Health Systems,IMI,Acute Stroke,6.0,70.0,15.4,As Expected,37.97568,-120.369
3878,2017,Tuolumne,Adventist Health Sonora – Greenley,106554011,Adventist Health Systems,IMI,AMI,0.0,35.0,0.0,As Expected,37.97568,-120.369
3879,2017,Ventura,Community Memorial Hospital – San Buenaventura,106560473,Independent/Other,IMI,Pneumonia,11.0,195.0,5.0,As Expected,34.27458,-119.258
3881,2017,Ventura,Community Memorial Hospital – San Buenaventura,106560473,Independent/Other,IMI,PCI,16.0,224.0,6.6,Worse,34.27458,-119.258
3882,2017,Ventura,Community Memorial Hospital – San Buenaventura,106560473,Independent/Other,IMI,Hip Fracture,2.0,169.0,1.3,As Expected,34.27458,-119.258
3883,2017,Ventura,Community Memorial Hospital – San Buenaventura,106560473,Independent/Other,IMI,Heart Failure,18.0,374.0,3.8,As Expected,34.27458,-119.258
3884,2017,Ventura,Community Memorial Hospital – San Buenaventura,106560473,Independent/Other,IMI,GI Hemorrhage,6.0,220.0,2.6,As Expected,34.27458,-119.258
3885,2017,Ventura,Community Memorial Hospital – San Buenaventura,106560473,Independent/Other,IMI,Carotid Endarterectomy,0.0,43.0,0.0,As Expected,34.27458,-119.258
3887,2017,Ventura,Community Memorial Hospital – San Buenaventura,106560473,Independent/Other,IMI,Acute Stroke Ischemic,5.0,190.0,3.0,As Expected,34.27458,-119.258
